date,Positive,Negative
%2017-%10-%26,0.4418604651162791,0.6201550387596899
%2017-%30-%9,0.4375,0.6319444444444444
%2017-%1-%12,0.38095238095238093,0.5873015873015873
%2017-%46-%27,0.3560606060606061,0.6742424242424242
%2017-%18-%21,0.5197368421052632,0.625
%2018-%1-%30,0.34615384615384615,0.5769230769230769
%2018-%59-%10,0.4375,0.5
%2017-%58-%3,0.4496124031007752,0.6744186046511628
%2017-%59-%7,0.35964912280701755,0.5964912280701754
%2017-%56-%14,0.43333333333333335,0.64
%2018-%18-%12,0.47619047619047616,0.47619047619047616
%2018-%0-%29,0.5416666666666666,0.6666666666666666
%2018-%2-%4,0.10526315789473684,0.5789473684210527
%2018-%58-%9,0.3684210526315789,0.6052631578947368
%2018-%41-%2,0.4642857142857143,0.5714285714285714
%2016-%10-%22,0.65625,0.5625
%2016-%16-%18,0.3793103448275862,0.7241379310344828
%2016-%50-%4,0.18181818181818182,0.6818181818181818
%2016-%23-%13,0.47619047619047616,0.6904761904761905
%2017-%23-%27,0.44285714285714284,0.7
%2017-%58-%11,0.43147208121827413,0.6700507614213198
%2018-%44-%30,0.4583333333333333,0.5
%2017-%40-%6,0.5251798561151079,0.5755395683453237
%2017-%5-%28,0.42783505154639173,0.6082474226804123
%2017-%39-%15,0.46153846153846156,0.6153846153846154
%2017-%6-%19,0.408,0.656
%2017-%18-%4,0.41975308641975306,0.5740740740740741
%2018-%58-%12,0.40625,0.59375
%2018-%22-%3,0.5,0.5
%2018-%33-%5,0.5,0.5
%2018-%21-%10,0.3333333333333333,0.5833333333333334
%2018-%32-%29,0.3333333333333333,0.5925925925925926
%2018-%48-%18,0.4482758620689655,0.5517241379310345
%2018-%33-%11,0.36363636363636365,0.45454545454545453
%2018-%17-%13,0.5625,0.75
%2016-%2-%8,0.42424242424242425,0.5151515151515151
%2016-%39-%24,0.4,0.4666666666666667
%2018-%13-%12,0.16666666666666666,0.875
%2016-%47-%27,0.34615384615384615,0.6153846153846154
