comment_score,Positive,Negative
26,0.3221919937815779,0.8099494753206374
29,0.3201304990569404,0.8140388438599174
-91,0.3698630136986301,0.726027397260274
474,0.3614457831325301,0.7951807228915663
1697,0.0,1.0
964,0.3333333333333333,0.9333333333333333
1806,0.4,1.0
2040,0.5,0.5
-251,1.0,0.5
1677,0.4,0.8
2509,0.0,1.0
2529,0.0,1.0
2927,0.0,1.0
3091,0.0,1.0
2250,0.3333333333333333,1.0
-250,0.5,1.0
2453,0.0,0.6666666666666666
19979,0.0,1.0
8484,0.0,1.0
1950,0.0,0.5
-279,1.0,0.0
10871,0.0,0.0
65,0.3224875360797691,0.8144843872999212
191,0.3226452905811623,0.8136272545090181
541,0.3018867924528302,0.8301886792452831
418,0.3402061855670103,0.7835051546391752
558,0.12244897959183673,0.8979591836734694
1360,0.2222222222222222,0.8888888888888888
1224,0.2,0.9
1840,0.125,0.875
3806,0.6666666666666666,0.6666666666666666
1010,0.21428571428571427,1.0
3061,0.0,1.0
1258,0.125,1.0
2906,0.0,1.0
3800,0.5,1.0
2812,1.0,0.5
3280,0.2,0.8
1277,0.2,0.9
2173,0.4,0.6
3391,1.0,1.0
5241,0.0,1.0
3106,1.0,1.0
3009,0.0,1.0
-58,0.39344262295081966,0.7344262295081967
293,0.2863636363636364,0.8454545454545455
222,0.31741573033707865,0.8735955056179775
730,0.29411764705882354,0.7941176470588235
-109,0.32608695652173914,0.6304347826086957
270,0.3176470588235294,0.8313725490196079
938,0.375,0.875
1145,0.09090909090909091,0.7272727272727273
1409,0.25,0.6666666666666666
8872,0.0,0.0
1371,0.1111111111111111,1.0
1127,0.2222222222222222,0.7777777777777778
2184,0.0,0.5
1551,0.2857142857142857,0.8571428571428571
6675,0.0,1.0
2517,0.5,1.0
2570,0.0,1.0
9632,1.0,1.0
3937,1.0,1.0
1642,0.0,1.0
2581,0.0,0.0
3327,0.0,1.0
243,0.2872340425531915,0.8617021276595744
442,0.43023255813953487,0.8488372093023255
720,0.3939393939393939,0.8484848484848485
278,0.3,0.8346153846153846
367,0.323943661971831,0.8098591549295775
1532,0.18181818181818182,0.9090909090909091
1463,0.375,0.875
1690,0.6666666666666666,0.8333333333333334
1175,0.25,0.875
2030,0.4,1.0
705,0.3611111111111111,0.8333333333333334
2944,0.75,0.75
7303,0.0,1.0
1202,0.1111111111111111,1.0
2371,0.0,0.8333333333333334
2598,0.4,1.0
6129,0.0,1.0
5850,0.0,1.0
1936,0.3333333333333333,1.0
1919,0.5,1.0
7595,0.0,1.0
-302,0.5,0.5
3452,0.0,1.0
10205,0.0,1.0
12472,1.0,1.0
-261,0.0,1.0
4519,0.0,0.0
4072,0.0,1.0
6287,0.0,1.0
54,0.3079584775086505,0.8111455108359134
19,0.3197030430967007,0.8075235407129812
296,0.3261802575107296,0.8540772532188842
1447,0.125,0.875
926,0.26666666666666666,0.6
1217,0.25,0.6666666666666666
-159,0.7142857142857143,0.6428571428571429
4552,0.0,1.0
965,0.1,0.75
1280,0.0,1.0
4256,0.0,1.0
1951,0.5,1.0
1671,0.3333333333333333,0.8333333333333334
6297,0.0,1.0
1782,0.0,1.0
3081,0.0,1.0
1537,0.16666666666666666,0.8333333333333334
2551,0.25,0.75
2857,0.6666666666666666,1.0
4082,0.0,1.0
11574,0.0,1.0
4929,1.0,1.0
6362,1.0,1.0
7233,1.0,0.0
3069,0.0,1.0
0,0.36036407130757725,0.7329225929947993
277,0.3416666666666667,0.8458333333333333
348,0.3197278911564626,0.8503401360544217
287,0.30131004366812225,0.851528384279476
415,0.29347826086956524,0.8369565217391305
1077,0.21428571428571427,0.8571428571428571
2940,0.5,1.0
2157,0.0,0.5
1336,0.3076923076923077,1.0
2486,0.0,1.0
847,0.25,1.0
1958,0.5,0.5
1594,0.5,0.75
6361,0.0,1.0
-193,0.25,0.75
-343,0.0,0.0
8493,1.0,1.0
3640,0.0,1.0
3252,0.0,1.0
502,0.44594594594594594,0.7567567567567568
656,0.28125,0.84375
3302,0.0,1.0
1480,0.0,0.8333333333333334
1055,0.21428571428571427,0.9285714285714286
2244,0.25,1.0
3296,0.5,1.0
6322,0.0,0.0
6262,1.0,1.0
2900,0.5,1.0
4108,0.0,1.0
1921,0.3333333333333333,1.0
2881,0.0,1.0
7234,0.0,1.0
7637,0.0,1.0
3869,1.0,1.0
4872,0.0,0.0
4113,1.0,1.0
2583,1.0,0.0
2088,0.0,0.0
155,0.3101851851851852,0.8364197530864198
112,0.31225905936777176,0.8365458750963762
-3,0.3774218317530044,0.7116301494616167
-30,0.4362017804154303,0.6961424332344214
113,0.3081664098613251,0.8382126348228043
385,0.3333333333333333,0.8461538461538461
167,0.3232484076433121,0.8455414012738853
299,0.35121951219512193,0.8439024390243902
-118,0.5681818181818182,0.5
1599,0.6,1.0
736,0.28125,0.875
4131,0.0,0.5
2175,0.25,1.0
2400,0.0,1.0
831,0.3157894736842105,0.9473684210526315
1738,0.6666666666666666,0.6666666666666666
1882,0.5,1.0
1042,0.07142857142857142,0.8571428571428571
-135,0.5217391304347826,0.5217391304347826
2403,0.0,1.0
7010,0.0,1.0
3324,0.0,1.0
2878,0.0,1.0
7139,0.0,1.0
2364,0.0,1.0
5579,1.0,1.0
7555,1.0,1.0
564,0.375,0.9107142857142857
237,0.3115727002967359,0.8486646884272997
857,0.47619047619047616,0.8095238095238095
-35,0.4117174959871589,0.6645264847512039
241,0.325,0.85625
347,0.24806201550387597,0.7984496124031008
602,0.3181818181818182,0.75
1636,0.7142857142857143,0.5714285714285714
1497,0.2,1.0
588,0.24444444444444444,0.8444444444444444
1740,0.0,0.4
1547,0.3333333333333333,0.6666666666666666
3158,0.0,1.0
1983,0.6666666666666666,1.0
4028,1.0,0.0
2660,0.0,1.0
2341,0.0,1.0
6479,0.0,1.0
-324,1.0,0.0
5304,0.0,1.0
4220,0.0,1.0
3484,0.0,1.0
8320,1.0,1.0
22,0.32278560644187215,0.8097949169602415
198,0.34101382488479265,0.836405529953917
330,0.28994082840236685,0.8106508875739645
2317,0.0,1.0
1211,0.15384615384615385,0.7692307692307693
414,0.38181818181818183,0.8545454545454545
530,0.2619047619047619,0.8571428571428571
1241,0.5,0.6666666666666666
2263,0.0,1.0
724,0.45714285714285713,0.8571428571428571
-141,0.3333333333333333,0.6666666666666666
1338,0.25,0.9166666666666666
2355,0.5,0.5
3930,1.0,0.0
2612,0.6666666666666666,1.0
2489,0.0,1.0
1711,0.25,0.75
1526,0.16666666666666666,1.0
2681,0.0,1.0
7392,0.3333333333333333,1.0
4235,0.0,1.0
2966,1.0,1.0
2378,0.0,1.0
1640,0.5,0.75
1905,1.0,1.0
5279,0.0,0.0
7499,1.0,1.0
2488,1.0,1.0
-60,0.45103857566765576,0.6617210682492581
1972,0.3333333333333333,1.0
196,0.3105022831050228,0.8584474885844748
487,0.352112676056338,0.8309859154929577
427,0.4050632911392405,0.810126582278481
1050,0.375,0.8125
130,0.32390243902439025,0.8234146341463414
486,0.2073170731707317,0.8048780487804879
1059,0.3333333333333333,1.0
1157,0.16666666666666666,1.0
932,0.38095238095238093,0.9047619047619048
1403,0.2,1.0
823,0.5,0.75
1428,0.5,0.8
2277,0.5,1.0
